,,act1,act2,how1,how2,math1,math2,math3,math4,math5,math6,form1,form2
,<pad>,0,0,-1,0,0,0,0,0,0,-1,0.5,0
,<do>,1,0,0,0,0,0,0,0,0,-1,0,0.25
,<eos>,-1,0,0,0,0,0,0,0,0,-1,0,-0.25
,<sep>,0,0,1,0,0,0,0,0,0,-1,0.5,0
,<calc>,0,1,0,0,0,0,0,0,0,-1,0,0
,<work>,0,0,0,-1,0,0,0,0,0,-1,0,0.5
,<step>,0,0,0,-1,0,0,0,0,0,-1,0,0.5
,<final>,0,0,0,1,0,0,0,0,0,-1,0,0.5
,undefined,0,0,0,0,-0.2,0,0,0,0,-1,0,0
,remainder,0,0,0,0,1,0,0,0,0,-1,0,0
,+,0,0,0,0,0,1,0,0,0,-1,0,0
,-,0,0,0,0,0,-1,0,0,0,-1,0,0
,*,0,0,0,0,0,0,1,0,0,-1,0,0
,/,0,0,0,0,0,0,-1,0,0,-1,0,0
,=,0,0,0,0,0,0,0,1,0,-1,0,0
,(,0,0,0,0,0,0,0,1,0,-1,0,0
,),0,0,0,0,0,0,0,1,0,-1,0,0
,0,0,0,0,0,0,0,0,0,0,var,0,0
,1,0,0,0,0,0,0,0,0,0.1,var,0,0
,2,0,0,0,0,0,0,0,0,0.2,var,0,0
,3,0,0,0,0,0,0,0,0,0.3,var,0,0
,4,0,0,0,0,0,0,0,0,0.4,var,0,0
,5,0,0,0,0,0,0,0,0,0.5,var,0,0
,6,0,0,0,0,0,0,0,0,0.6,var,0,0
,7,0,0,0,0,0,0,0,0,0.7,var,0,0
,8,0,0,0,0,0,0,0,0,0.8,var,0,0
,9,0,0,0,0,0,0,0,0,0.9,var,0,0
